outcome,body_part,technique,play_type,shot_location_start,player,statsbomb_xg,team
Blocked,Left Foot,Normal,Open Play,"[101.0, 37.0]",Éver Maximiliano David Banega,0.0451609,Argentina
Saved,Left Foot,Normal,Penalty,"[109.0, 41.0]",Lionel Andrés Messi Cuccittini,0.76,Argentina
Blocked,Left Foot,Normal,Open Play,"[105.0, 58.0]",Lionel Andrés Messi Cuccittini,0.0246978,Argentina
Off T,Left Foot,Normal,Free Kick,"[92.0, 58.0]",Lionel Andrés Messi Cuccittini,0.0225826,Argentina
Blocked,Left Foot,Normal,Open Play,"[100.0, 53.0]",Eduardo Antonio Salvio,0.0349511,Argentina
Saved,Right Foot,Normal,Open Play,"[97.0, 20.0]",Éver Maximiliano David Banega,0.0169519,Argentina
Blocked,Left Foot,Normal,Free Kick,"[92.0, 61.0]",Lionel Andrés Messi Cuccittini,0.0285592,Argentina
Off T,Left Foot,Normal,Open Play,"[97.0, 44.0]",Lionel Andrés Messi Cuccittini,0.0502115,Argentina
Blocked,Right Foot,Normal,Open Play,"[100.0, 27.0]",Cristian David Pavón,0.0451246,Argentina
Blocked,Left Foot,Normal,Open Play,"[98.0, 44.0]",Lionel Andrés Messi Cuccittini,0.0377516,Argentina
Saved,Right Foot,Normal,Open Play,"[95.0, 55.0]",Javier Alejandro Mascherano,0.0226282,Argentina
Off T,Right Foot,Normal,Open Play,"[105.0, 52.0]",Lionel Andrés Messi Cuccittini,0.0352789,Argentina
Blocked,Left Foot,Normal,Free Kick,"[90.0, 36.0]",Lionel Andrés Messi Cuccittini,0.0300318,Argentina
Off T,Right Foot,Half Volley,Open Play,"[87.0, 57.0]",Luis Jan Piers Advíncula Castrillón,0.0138983,Peru
Saved,Left Foot,Normal,Open Play,"[84.0, 24.0]",Víctor Yoshimar Yotún Flores,0.0114792,Peru
Off T,Left Foot,Normal,Open Play,"[87.0, 41.0]",Édison Michael Flores Peralta,0.0183793,Peru
Saved,Left Foot,Normal,Open Play,"[103.0, 58.0]",André Martín Carrillo Díaz,0.021491,Peru
Blocked,Right Foot,Normal,Open Play,"[86.0, 43.0]",Renato Fabrizio Tapia Cortijo,0.0181372,Peru
Wayward,Head,Normal,Open Play,"[107.0, 37.0]",Alberto Junior Rodríguez Valdelomar,0.0203486,Peru
Blocked,Left Foot,Normal,Open Play,"[113.0, 26.0]",Pione Sisto Ifolo Emirmija,0.0336897,Denmark
Off T,Left Foot,Normal,Open Play,"[88.0, 36.0]",Thomas Delaney,0.0219926,Denmark
Blocked,Right Foot,Normal,Open Play,"[108.0, 51.0]",Jefferson Agustín Farfán Guadalupe,0.136702,Peru
Blocked,Right Foot,Normal,Free Kick,"[100.0, 52.0]",Christian Dannemann Eriksen,0.0621693,Denmark
Saved,Right Foot,Half Volley,Open Play,"[94.0, 43.0]",Lasse Schöne,0.0323757,Denmark
Off T,Left Foot,Half Volley,Open Play,"[102.0, 24.0]",Thomas Delaney,0.0209094,Denmark
Off T,Right Foot,Normal,Penalty,"[108.0, 40.0]",Christian Alberto Cueva Bravo,0.76,Peru
Off T,Head,Normal,Open Play,"[115.0, 45.0]",Yussuf Yurary Poulsen,0.090402,Denmark
Blocked,Right Foot,Normal,Open Play,"[110.0, 60.0]",Jefferson Agustín Farfán Guadalupe,0.0232469,Peru
Off T,Right Foot,Normal,Open Play,"[90.0, 36.0]",Jens Stryger Larsen,0.0178067,Denmark
Off T,Left Foot,Half Volley,Open Play,"[103.0, 59.0]",Christian Dannemann Eriksen,0.0276196,Denmark
Off T,Left Foot,Normal,Open Play,"[114.0, 50.0]",Édison Michael Flores Peralta,0.146058,Peru
Goal,Left Foot,Normal,Open Play,"[108.0, 28.0]",Yussuf Yurary Poulsen,0.263383,Denmark
Saved,Left Foot,Normal,Open Play,"[108.0, 29.0]",Édison Michael Flores Peralta,0.139461,Peru
Saved,Head,Normal,Open Play,"[113.0, 41.0]",José Paolo Guerrero González,0.209361,Peru
